T,49.165973086,20.218118116,1311.9,,
T,49.166712742,20.218815423,1294.1,,
T,49.167162369,20.219280300,1289.2,,
T,49.167917450,20.220209242,1284.0,,
T,49.168373848,20.220441926,1290.4,,
T,49.169148285,20.221366540,1330.7,,
T,49.169939385,20.222285271,1382.8,,
T,49.170732580,20.222737142,1448.0,,
T,49.171372538,20.223416263,1491.1,,
T,49.172007808,20.223863694,1526.4,,
T,49.172646811,20.224535235,1608.7,,
T,49.173432665,20.224745967,1675.8,,
T,49.173897418,20.225193009,1690.9,,
T,49.174641074,20.226106998,1675.1,,
T,49.175382057,20.227021393,1675.8,,
T,49.175986692,20.227243299,1695.2,,
T,49.176735478,20.227923002,1711.5,,
T,49.177633714,20.228600999,1717.3,,
T,49.177624936,20.229064739,1698.1,,
T,49.178218910,20.229295037,1694.4,,
T,49.179097035,20.230455286,1654.3,,
T,49.179692072,20.230686116,1651.3,,
T,49.180429070,20.231613427,1642.6,,
T,49.181172825,20.232529846,1649.8,,
T,49.181920560,20.232981183,1654.9,,
T,49.182814958,20.233665053,1652.7,,
T,49.183262798,20.233890504,1655.4,,
T,49.184006552,20.234351727,1660.9,,
T,49.184599792,20.235048965,1638.9,,
T,49.185043293,20.235983302,1618.0,,
T,49.185639782,20.236444439,1616.5,,
T,49.186383979,20.237371480,1598.6,,
T,49.187129590,20.238290557,1601.7,,
T,49.187875717,20.238986754,1595.2,,
T,49.188473292,20.239691801,1571.9,,
T,49.189071735,20.239929757,1563.2,,
T,49.190119615,20.241097721,1547.6,,
T,49.191016456,20.242014948,1553.8,,
T,49.191763482,20.242470988,1562.6,,
T,49.192361810,20.242932154,1563.1,,
T,49.193108350,20.243156221,1568.6,,
T,49.194003743,20.243379512,1577.6,,
T,49.195196784,20.243601030,1583.6,,
T,49.195795478,20.244065654,1580.0,,
T,49.196245364,20.244300789,1577.3,,
T,49.196991860,20.244299205,1584.8,,
T,49.198043906,20.244544672,1571.8,,
T,49.198940207,20.244773949,1562.4,,
T,49.199976970,20.244754942,1581.3,,
T,49.200568136,20.245201658,1588.3,,
T,49.201862243,20.245109534,1666.8,,
T,49.202878710,20.245295410,1724.1,,
T,49.204217015,20.245301040,1737.7,,
T,49.204991057,20.245352092,1672.8,,
T,49.205612302,20.245393344,1631.5,,
T,49.206345004,20.245376873,1641.8,,
T,49.207066882,20.245346429,1658.5,,
T,49.207788024,20.245317504,1699.3,,
T,49.208787719,20.245268325,1766.1,,
T,49.209849968,20.244845152,1746.8,,
T,49.210805912,20.244695550,1675.8,,
T,49.211144111,20.244056260,1649.8,,
T,49.211974265,20.243690876,1564.1,,
T,49.212803610,20.243086105,1485.7,,
T,49.213435673,20.242888574,1464.5,,
T,49.214359550,20.242450809,1434.9,,
T,49.214818377,20.241997595,1434.6,,
T,49.215867646,20.241536113,1424.5,,
T,49.216452513,20.240832495,1435.7,,
T,49.217326255,20.240352707,1468.0,,
T,49.217887787,20.239405412,1511.9,,
T,49.218590454,20.238456230,1551.7,,
T,49.219025977,20.237760723,1557.2,,
T,49.219312755,20.236836207,1563.4,,
T,49.219898823,20.235912990,1572.4,,
T,49.220189994,20.234992995,1580.4,,
T,49.220771455,20.233611916,1602.9,,
T,49.221352472,20.232461392,1618.5,,
T,49.221633916,20.231310926,1618.1,,
T,49.222221975,20.230166040,1615.2,,
T,49.222669270,20.229024163,1616.7,,
T,49.222817701,20.228566989,1616.2,,
T,49.222958652,20.227422193,1626.0,,
T,49.223099578,20.226506569,1636.5,,
T,49.223385661,20.225362330,1647.8,,
T,49.223673294,20.224447206,1657.3,,
T,49.223814787,20.223532733,1666.1,,
T,49.224097936,20.222392104,1675.8,,
T,49.224383674,20.220566059,1680.7,,
T,49.224496301,20.219424321,1683.0,,
T,49.224753059,20.218285863,1720.3,,
T,49.224833477,20.216695242,1749.7,,
T,49.224788723,20.215561343,1778.4,,
T,49.224735502,20.214433735,1814.5,,
T,49.224830797,20.213760474,1858.4,,
T,49.224762902,20.212186113,1920.8,,
T,49.224980978,20.211045481,1858.8,,
