T,49.202818997,20.205662861,2077.6,,,
T,49.202660152,20.205463100,2086.8,,,
T,49.200751867,20.207219940,2355.4,,,
T,49.200532826,20.207017894,2376.0,,,
T,49.199942930,20.207064746,2416.4,,,
T,49.199606706,20.207097060,2450.2,,,
T,49.199275101,20.207128925,2496.5,,,
T,49.198953002,20.207154528,2529.3,,,
T,49.198686259,20.206768746,2567.5,,,
T,49.198608525,20.206510612,2574.5,,,
T,49.198440968,20.206339410,2560.0,,,
T,49.198317100,20.205837914,2511.0,,,
T,49.198229805,20.205566987,2483.8,,,
T,49.198150713,20.205195115,2464.5,,,
T,49.198023783,20.204779776,2445.3,,,
T,49.197894280,20.204546487,2415.5,,,
T,49.197765513,20.204220715,2407.4,,,
T,49.197591852,20.203939084,2395.8,,,
T,49.197445721,20.203634075,2374.4,,,
T,49.197264166,20.203254701,2345.7,,,
T,49.197075772,20.202789311,2293.1,,,
T,49.196791356,20.202407432,2250.0,,,
T,49.196499502,20.202143556,2219.0,,,
T,49.196225014,20.202043294,2192.7,,,
T,49.196038205,20.201945187,2175.8,,,
T,49.195809176,20.201985993,2160.0,,,
T,49.195620023,20.202081120,2151.2,,,
T,49.195380885,20.202137902,2140.8,,,
T,49.195032049,20.202416993,2128.2,,,
T,49.194748359,20.202731037,2122.4,,,
T,49.194383717,20.203148053,2149.2,,,
T,49.193622839,20.204229114,2221.5,,,
T,49.193345777,20.204645845,2214.6,,,
T,49.192991779,20.205233299,2209.4,,,
T,49.192959115,20.205552266,2204.1,,,
T,49.193000118,20.205508553,2207.7,,,
T,49.193168540,20.205703681,2234.1,,,
T,49.193456924,20.205951549,2288.7,,,
T,49.193883697,20.206314893,2348.9,,,
T,49.194995339,20.205619017,2322.0,,,
T,49.195849565,20.205482326,2301.0,,,
T,49.196366789,20.205614136,2338.0,,,
T,49.196777845,20.205681121,2386.2,,,
T,49.197462636,20.205142008,2407.6,,,
T,49.197892882,20.204729132,2426.2,,,
T,49.198276281,20.204248406,2451.9,,,
T,49.198649460,20.203415413,2450.2,,,
T,49.198720121,20.202982346,2460.6,,,
T,49.198703395,20.202727110,2442.2,,,
T,49.198580327,20.202133322,2423.1,,,
T,49.198252452,20.201661021,2401.8,,,
T,49.197803032,20.201044085,2349.3,,,
T,49.197245763,20.200437904,2338.1,,,
T,49.196848323,20.199694654,2291.7,,,
T,49.196514591,20.199041454,2233.8,,,
T,49.196018865,20.198668260,2156.0,,,
T,49.195507323,20.198655385,2132.3,,,
T,49.194786102,20.198702482,2092.8,,,
T,49.194129058,20.199171454,2066.1,,,
T,49.193590726,20.199498275,2042.6,,,
T,49.193038511,20.200147521,2035.3,,,
T,49.192500268,20.201047015,2049.5,,,
T,49.191979611,20.202127634,2057.6,,,
T,49.191713961,20.203299970,2056.6,,,
T,49.191501203,20.204507377,2067.6,,,
T,49.191353660,20.205871246,2076.2,,,
T,49.191223137,20.206812249,2118.1,,,
T,49.191254639,20.207639003,2116.6,,,
T,49.191336293,20.208048521,2100.0,,,
T,49.191527995,20.208504201,2101.3,,,
T,49.191780273,20.208744147,2120.9,,,
T,49.192107356,20.208996461,2123.6,,,
T,49.192518839,20.209176575,2148.6,,,
T,49.192910196,20.209240485,2227.8,,,
T,49.193207503,20.209159821,2265.0,,,
T,49.193533315,20.208955689,2280.7,,,
T,49.193922954,20.208607797,2350.7,,,
T,49.194156097,20.208316800,2333.4,,,
T,49.194393233,20.207774110,2345.4,,,
T,49.194526155,20.207141542,2375.5,,,
T,49.195393638,20.205326281,2285.8,,,
T,49.195792146,20.203831617,2208.5,,,
T,49.195823949,20.202856580,2168.5,,,
T,49.195654676,20.202047756,2152.6,,,
